TEMP:21.57,LDR:349
TEMP:22.23,LDR:358
TEMP:21.80,LDR:372
TEMP:21.94,LDR:378
TEMP:21.73,LDR:409
TEMP:21.90,LDR:465
TEMP:22.42,LDR:542
TEMP:22.37,LDR:403
TEMP:21.77,LDR:429
TEMP:21.90,LDR:512
TEMP:21.53,LDR:669
TEMP:21.59,LDR:657
TEMP:22.10,LDR:433
TEMP:22.49,LDR:578
TEMP:21.66,LDR:435
TEMP:22.47,LDR:526
TEMP:21.62,LDR:367
TEMP:21.60,LDR:333
TEMP:22.29,LDR:649
TEMP:22.29,LDR:321
TEMP:22.17,LDR:572
TEMP:22.43,LDR:436
TEMP:22.35,LDR:445
TEMP:21.78,LDR:391
TEMP:22.44,LDR:657
TEMP:21.51,LDR:653
TEMP:21.58,LDR:644
TEMP:22.18,LDR:590
TEMP:21.74,LDR:496
TEMP:21.80,LDR:403
TEMP:21.72,LDR:566
TEMP:21.99,LDR:324
TEMP:21.51,LDR:353
TEMP:22.27,LDR:508
TEMP:21.78,LDR:433
TEMP:22.48,LDR:481
TEMP:21.85,LDR:313
TEMP:22.15,LDR:514
TEMP:22.13,LDR:436
TEMP:21.75,LDR:369
TEMP:21.65,LDR:394
TEMP:21.79,LDR:401
TEMP:21.67,LDR:495
TEMP:21.55,LDR:304
TEMP:22.01,LDR:598
TEMP:22.38,LDR:623
TEMP:21.55,LDR:382
TEMP:22.02,LDR:666
TEMP:21.66,LDR:637
TEMP:21.88,LDR:644
TEMP:21.51,LDR:397
TEMP:22.21,LDR:528
TEMP:21.87,LDR:458
TEMP:22.27,LDR:697
TEMP:22.44,LDR:604
TEMP:21.59,LDR:531
TEMP:21.95,LDR:475
TEMP:21.85,LDR:598
TEMP:21.92,LDR:699
TEMP:22.18,LDR:312
TEMP:22.10,LDR:657
TEMP:22.44,LDR:308
